name,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
naive-0,28151086243,1555,1543,9126769952,142619523,142611044,2550145286,16777913,16777870
naive-1,20635221432,1546,1539,5100303729,142619526,142611050,2415919378,16777913,16777869
naive-2,20635221454,1547,1540,5100303736,142619526,142611051,2415919382,16777912,16777868
naive-3,20635155875,1546,1539,5100303725,142619525,142611050,2415919370,16777913,16777869
naive_prefetch-0,31103695943,1556,1544,9529398534,142619526,142611045,2550145269,16777911,16777871
naive_prefetch-1,20903722374,1549,1542,5100352866,142628423,142611070,2415935749,16777908,16777867
naive_prefetch-2,20903820647,1548,1541,5100402010,142637296,142611084,2415935749,16777909,16777868
naive_prefetch-3,21037866448,1547,1540,5100320120,142628421,142611068,2415935764,16777909,16777868
oblivious128-0,82715504222,1564,1552,32333070310,169389823,41547753,6107073478,33566242,33555450
oblivious128-1,43513704210,1551,1544,10869749115,169301607,41547768,5501004734,33561871,33555430
oblivious128-2,43514744494,1549,1543,10869760011,169301604,41547765,5501010178,33562129,33555432
oblivious128-3,41187926583,1942,1936,10173583279,169322037,41548485,4797452695,33569398,33555757
