name,optim,size,time,bandwidth
naive,0,8,0.000154,3404467532.467533
naive,0,8,0.000154,3404467532.467533
naive,0,8,0.000133,3942015037.593985
naive,0,8,0.000143,3666349650.349650
naive,0,8,0.000254,2064125984.251969
naive,0,8,0.000195,2688656410.256410
naive,0,8,0.000194,2702515463.917526
naive,0,8,0.000164,3196878048.780488
naive,0,8,0.000138,3799188405.797101
naive,0,8,0.000160,3276800000.000000
naive,0,8,0.000227,2309638766.519824
naive,0,8,0.000130,4032984615.384616
naive,0,8,0.000132,3971878787.878788
naive,0,8,0.000136,3855058823.529412
naive,0,8,0.000129,4064248062.015504
naive,0,8,0.000138,3799188405.797101
naive,0,8,0.000133,3942015037.593985
naive,0,8,0.000143,3666349650.349650
naive,0,8,0.000126,4161015873.015873
naive,0,8,0.000131,4002198473.282443
naive,0,8,0.000128,4096000000.000000
naive,0,8,0.000134,3912597014.925373
naive,0,8,0.000142,3692169014.084507
naive,0,8,0.000134,3912597014.925373
naive,0,8,0.000130,4032984615.384616
naive,0,8,0.000133,3942015037.593985
naive,0,8,0.000129,4064248062.015504
naive,0,8,0.000157,3339414012.738853
naive,0,8,0.000186,2818752688.172043
naive,0,8,0.000142,3692169014.084507
naive,0,8,0.000128,4096000000.000000
naive,0,8,0.000180,2912711111.111111
naive,0,8,0.000154,3404467532.467533
naive,0,8,0.000128,4096000000.000000
naive,0,8,0.000134,3912597014.925373
naive,0,8,0.000133,3942015037.593985
naive,0,8,0.000134,3912597014.925373
naive,0,8,0.000163,3216490797.546012
naive,0,8,0.000195,2688656410.256410
naive,0,8,0.000137,3826919708.029197
naive,0,8,0.000126,4161015873.015873
naive,0,8,0.000136,3855058823.529412
naive,0,8,0.000143,3666349650.349650
naive,0,8,0.000128,4096000000.000000
naive,0,8,0.000132,3971878787.878788
naive,0,8,0.000127,4128251968.503937
naive,0,8,0.000152,3449263157.894737
naive,0,8,0.000128,4096000000.000000
naive,0,8,0.000136,3855058823.529412
naive,0,8,0.000127,4128251968.503937
naive,0,9,0.001601,1309901311.680200
naive,0,9,0.000786,2668132315.521628
naive,0,9,0.000772,2716518134.715026
naive,0,9,0.000742,2826350404.312668
naive,0,9,0.000730,2872810958.904110
naive,0,9,0.000742,2826350404.312668
naive,0,9,0.000732,2864961748.633880
naive,0,9,0.000740,2833989189.189189
naive,0,9,0.000733,2861053206.002728
naive,0,9,0.002135,982272599.531616
naive,0,9,0.000734,2857155313.351499
naive,0,9,0.001063,1972861712.135466
naive,0,9,0.000732,2864961748.633880
naive,0,9,0.000803,2611646326.276463
naive,0,9,0.000779,2692107830.551990
naive,0,9,0.000765,2741375163.398693
naive,0,9,0.000733,2861053206.002728
naive,0,9,0.000746,2811195710.455764
naive,0,9,0.000733,2861053206.002728
naive,0,9,0.000785,2671531210.191083
naive,0,9,0.000742,2826350404.312668
naive,0,9,0.000774,2709498708.010336
naive,0,9,0.000735,2853268027.210885
naive,0,9,0.000787,2664742058.449809
naive,0,9,0.000772,2716518134.715026
naive,0,9,0.000774,2709498708.010336
naive,0,9,0.000732,2864961748.633880
naive,0,9,0.000745,2814969127.516778
naive,0,9,0.000734,2857155313.351499
naive,0,9,0.000742,2826350404.312668
naive,0,9,0.000734,2857155313.351499
naive,0,9,0.002107,995326056.003797
naive,0,9,0.000732,2864961748.633880
naive,0,9,0.000752,2788765957.446809
naive,0,9,0.000765,2741375163.398693
naive,0,9,0.000760,2759410526.315789
naive,0,9,0.000792,2647919191.919192
naive,0,9,0.000749,2799935914.552737
naive,0,9,0.000733,2861053206.002728
naive,0,9,0.000745,2814969127.516778
naive,0,9,0.000732,2864961748.633880
naive,0,9,0.000734,2857155313.351499
naive,0,9,0.000769,2727115734.720416
naive,0,9,0.000758,2766691292.875989
naive,0,9,0.000737,2845525101.763907
naive,0,9,0.000731,2868880984.952120
naive,0,9,0.000731,2868880984.952120
naive,0,9,0.000798,2628010025.062657
naive,0,9,0.000816,2570039215.686275
naive,0,9,0.000737,2845525101.763907
naive,0,10,0.004037,2077931136.982908
naive,0,10,0.004381,1914770143.802785
naive,0,10,0.003636,2307097909.790979
naive,0,10,0.004141,2025744506.157933
naive,0,10,0.004186,2003967510.750120
naive,0,10,0.003992,2101354709.418838
naive,0,10,0.003965,2115664060.529634
naive,0,10,0.004783,1753838176.876437
naive,0,10,0.004684,1790906917.164816
naive,0,10,0.003956,2120477249.747219
naive,0,10,0.003787,2215106416.688672
naive,0,10,0.003963,2116731768.861973
naive,0,10,0.004465,1878747592.385218
naive,0,10,0.004076,2058049067.713445
naive,0,10,0.004048,2072284584.980237
naive,0,10,0.003631,2310274855.411732
naive,0,10,0.004016,2088796812.749004
naive,0,10,0.003767,2226867002.920095
naive,0,10,0.003700,2267191351.351351
naive,0,10,0.004003,2095580314.763927
naive,0,10,0.003718,2256215169.445939
naive,0,10,0.004639,1808279370.553999
naive,0,10,0.003832,2189093945.720251
naive,0,10,0.004101,2045503048.037064
naive,0,10,0.006983,1201289989.975655
naive,0,10,0.004212,1991597340.930675
naive,0,10,0.004478,1873293434.569004
naive,0,10,0.007302,1148809641.194193
naive,0,10,0.004259,1969619159.427096
naive,0,10,0.004206,1994438421.302901
naive,0,10,0.004086,2053012236.906510
naive,0,10,0.004428,1894446251.129178
naive,0,10,0.004675,1794354652.406417
naive,0,10,0.004395,1908670762.229807
naive,0,10,0.004073,2059564939.847778
naive,0,10,0.004316,1943607043.558851
naive,0,10,0.004083,2054520695.566985
naive,0,10,0.007089,1183327408.661306
naive,0,10,0.004210,1992543467.933492
naive,0,10,0.004104,2044007797.270955
naive,0,10,0.004276,1961788587.464920
naive,0,10,0.004187,2003488894.196322
naive,0,10,0.004693,1787472405.710633
naive,0,10,0.004551,1843245001.098660
naive,0,10,0.004675,1794354652.406417
naive,0,10,0.006798,1233981759.340983
naive,0,10,0.004510,1860001773.835920
naive,0,10,0.004270,1964545199.063232
naive,0,10,0.003973,2111403976.843695
naive,0,10,0.004345,1930634752.589183
naive,0,11,0.033194,1010858347.894198
naive,0,11,0.031415,1068102244.150883
naive,0,11,0.035097,956048437.188364
naive,0,11,0.033555,999983072.567427
naive,0,11,0.031320,1071342017.879949
naive,0,11,0.030473,1101120073.507695
naive,0,11,0.031728,1057565305.093293
naive,0,11,0.032474,1033270678.080926
naive,0,11,0.031608,1061580359.402683
naive,0,11,0.043050,779429314.750290
naive,0,11,0.031383,1069191345.632986
naive,0,11,0.030522,1099352336.019920
naive,0,11,0.034530,971747234.289024
naive,0,11,0.032269,1039834887.972977
naive,0,11,0.033807,992529121.187920
naive,0,11,0.031904,1051731193.580742
naive,0,11,0.035237,952249964.525925
naive,0,11,0.037618,891978095.592535
naive,0,11,0.031434,1067456639.307756
naive,0,11,0.036132,928662459.869368
naive,0,11,0.033076,1014464626.919821
naive,0,11,0.030511,1099748680.803645
naive,0,11,0.034913,961087044.940280
naive,0,11,0.031264,1073261003.070624
naive,0,11,0.033253,1009064806.182901
naive,0,11,0.030961,1083764477.891541
naive,0,11,0.031006,1082191575.824034
naive,0,11,0.030506,1099928932.013375
naive,0,11,0.038056,881712003.363464
naive,0,11,0.038286,876415190.931411
naive,0,11,0.037539,893855243.879698
naive,0,11,0.030928,1084920848.422142
naive,0,11,0.034799,964235524.009311
naive,0,11,0.032104,1045179167.704959
naive,0,11,0.035736,938953212.446832
naive,0,11,0.042620,787293101.830127
naive,0,11,0.034143,982761678.821428
naive,0,11,0.031216,1074911327.524346
naive,0,11,0.031202,1075393628.613550
naive,0,11,0.029478,1138287265.079042
naive,0,11,0.033830,991854330.475909
naive,0,11,0.037319,899124628.205472
naive,0,11,0.034630,968941149.292521
naive,0,11,0.038782,865206332.834820
naive,0,11,0.033574,999417168.046703
naive,0,11,0.032326,1038001361.133453
naive,0,11,0.032292,1039094264.833395
naive,0,11,0.037877,885878818.280223
naive,0,11,0.031215,1074945763.254845
naive,0,11,0.039529,848856080.346075
naive,0,12,0.194736,689229151.261195
naive,0,12,0.200027,670998055.262540
naive,0,12,0.196208,684058387.017859
naive,0,12,0.188243,713002491.460506
naive,0,12,0.201048,667590465.958378
naive,0,12,0.191277,701692979.291812
naive,0,12,0.205032,654618440.048383
naive,0,12,0.195892,685161864.700958
naive,0,12,0.195520,686465466.448445
naive,0,12,0.187730,714950876.258456
naive,0,12,0.199615,672382977.231170
naive,0,12,0.195476,686619984.038961
naive,0,12,0.195668,685946235.460065
naive,0,12,0.198561,675952115.470813
naive,0,12,0.198915,674749154.161325
naive,0,12,0.195080,688013778.962477
naive,0,12,0.201176,667165705.650774
naive,0,12,0.195676,685918191.295816
naive,0,12,0.198933,674688101.018936
naive,0,12,0.204724,655603290.283504
naive,0,12,0.197281,680337832.837425
naive,0,12,0.206439,650156840.519475
naive,0,12,0.195277,687319694.587688
naive,0,12,0.198877,674878080.421567
naive,0,12,0.188700,711275718.071012
naive,0,12,0.195456,686690242.305174
naive,0,12,0.201758,665241170.114692
naive,0,12,0.197589,679277328.191347
naive,0,12,0.196842,681855132.542852
naive,0,12,0.191047,702537742.021597
naive,0,12,0.196903,681643895.725306
naive,0,12,0.205902,651852473.506814
naive,0,12,0.196505,683024493.015445
naive,0,12,0.202746,661999388.397305
naive,0,12,0.202269,663560545.610054
naive,0,12,0.182265,736387830.905550
naive,0,12,0.199817,671703248.472352
naive,0,12,0.197001,681304805.559363
naive,0,12,0.185207,724690362.675277
naive,0,12,0.199694,672116978.977836
naive,0,12,0.200931,667979196.838716
naive,0,12,0.196843,681851668.588672
naive,0,12,0.205366,653553791.766894
naive,0,12,0.203299,660198663.052942
naive,0,12,0.200278,670157121.600975
naive,0,12,0.197119,680896960.719159
naive,0,12,0.198974,674549076.763798
naive,0,12,0.197468,679693560.475621
naive,0,12,0.196124,684351369.541718
naive,0,12,0.207494,646851128.225394
naive,0,13,0.892809,601327845.037404
naive,0,13,0.924248,580873220.174672
naive,0,13,0.902426,594919596.731477
naive,0,13,0.913855,587479317.834886
naive,0,13,0.886530,605586852.108784
naive,0,13,0.893197,601066631.437410
naive,0,13,0.865262,620472078.977235
naive,0,13,0.894788,599997890.002995
naive,0,13,0.904136,593794420.308449
naive,0,13,0.903041,594514437.328981
naive,0,13,0.903346,594313709.254261
naive,0,13,0.888571,604195851.541407
naive,0,13,0.912570,588306554.017774
naive,0,13,0.896873,598603048.592164
naive,0,13,0.914615,586991151.468104
naive,0,13,0.891342,602317530.196041
naive,0,13,0.909922,590018608.188394
naive,0,13,0.884243,607153137.768690
naive,0,13,0.906096,592509968.038707
naive,0,13,0.892442,601575129.812358
naive,0,13,0.897296,598320857.331360
naive,0,13,0.901635,595441516.800035
naive,0,13,0.897724,598035601.142445
naive,0,13,0.908440,590981145.700321
naive,0,13,0.894090,600466297.576307
naive,0,13,0.894647,600092452.106809
naive,0,13,0.913394,587775825.109427
naive,0,13,0.891022,602533845.404491
naive,0,13,0.923276,581484747.789393
naive,0,13,0.895986,599195648.146288
naive,0,13,0.915575,586375678.671873
naive,0,13,0.897618,598106223.360048
naive,0,13,0.915275,586567875.228756
naive,0,13,0.889080,603849948.261124
naive,0,13,0.909763,590121726.207815
naive,0,13,0.903583,594157827.227825
naive,0,13,0.921629,582523891.934824
naive,0,13,0.889241,603740619.247201
naive,0,13,0.925667,579982771.342178
naive,0,13,0.901689,595405857.230154
naive,0,13,0.911488,589004915.040022
naive,0,13,0.890131,603136967.480067
naive,0,13,0.897445,598221519.981726
naive,0,13,0.914976,586759556.534816
naive,0,13,0.908994,590620963.394698
naive,0,13,0.916661,585680979.118780
naive,0,13,0.899447,596889991.294651
naive,0,13,0.907846,591367822.295852
naive,0,13,0.910285,589783322.805495
naive,0,13,0.912877,588108706.868505
naive,0,14,3.874890,554205060.788822
naive,0,14,4.011717,535302876.050330
naive,0,14,3.904212,550042786.610973
naive,0,14,3.999368,536955751.008659
naive,0,14,3.929200,546544754.148427
naive,0,14,4.036965,531954983.013229
naive,0,14,3.927671,546757518.132247
naive,0,14,3.996623,537324548.249860
naive,0,14,3.898926,550788511.502911
naive,0,14,3.978190,539814249.193729
naive,0,14,3.903261,550176800.372816
naive,0,14,4.003331,536424204.743500
naive,0,14,3.936091,545587906.377165
naive,0,14,3.929148,546551987.351965
naive,0,14,3.974609,540300605.166445
naive,0,14,3.922001,547547960.339633
naive,0,14,3.978857,539723756.847758
naive,0,14,3.896660,551108808.056130
naive,0,14,3.927718,546750975.502824
naive,0,14,3.891073,551900118.039420
naive,0,14,4.076572,526786635.437814
naive,0,14,3.944871,544373605.119153
naive,0,14,4.005681,536109502.479104
naive,0,14,3.926976,546854283.805147
naive,0,14,3.995007,537541898.675021
naive,0,14,3.926589,546908181.121070
naive,0,14,3.967824,541224522.055414
naive,0,14,3.911322,549042918.992607
naive,0,14,4.002349,536555819.594943
naive,0,14,3.955934,542851232.603982
naive,0,14,3.991086,538070000.997222
naive,0,14,3.914747,548562563.046858
naive,0,14,4.016727,534635201.247185
naive,0,14,3.905730,549829007.125429
naive,0,14,3.924503,547198880.469705
naive,0,14,4.039521,531618389.408051
naive,0,14,3.967350,541289184.972337
naive,0,14,3.947053,544072665.859820
naive,0,14,3.931719,546194590.203420
naive,0,14,3.930428,546373994.893177
naive,0,14,3.944482,544427290.579600
naive,0,14,3.937905,545336580.745345
naive,0,14,3.926026,546986608.850782
naive,0,14,3.957050,542698133.205292
naive,0,14,3.936394,545545910.292516
naive,0,14,4.009465,535603540.123184
naive,0,14,3.922874,547426108.511260
naive,0,14,4.010009,535530879.855881
naive,0,14,3.921892,547563178.180327
naive,0,14,4.012873,535148669.793437
naive,1,8,0.000120,4369066666.666667
naive,1,8,0.000111,4723315315.315315
naive,1,8,0.000132,3971878787.878788
naive,1,8,0.000109,4809981651.376146
naive,1,8,0.000124,4228129032.258064
naive,1,8,0.000135,3883614814.814815
naive,1,8,0.000097,5405030927.835052
naive,1,8,0.000127,4128251968.503937
naive,1,8,0.000117,4481094017.094017
naive,1,8,0.000142,3692169014.084507
naive,1,8,0.000082,6393756097.560975
naive,1,8,0.000115,4559026086.956522
naive,1,8,0.000115,4559026086.956522
naive,1,8,0.000140,3744914285.714286
naive,1,8,0.000124,4228129032.258064
naive,1,8,0.000097,5405030927.835052
naive,1,8,0.000121,4332958677.685950
naive,1,8,0.000114,4599017543.859649
naive,1,8,0.000128,4096000000.000000
naive,1,8,0.000085,6168094117.647058
naive,1,8,0.000123,4262504065.040650
naive,1,8,0.000085,6168094117.647058
naive,1,8,0.000091,5761406593.406593
naive,1,8,0.000104,5041230769.230769
naive,1,8,0.000112,4681142857.142858
naive,1,8,0.000129,4064248062.015504
naive,1,8,0.000077,6808935064.935065
naive,1,8,0.000123,4262504065.040650
naive,1,8,0.000131,4002198473.282443
naive,1,8,0.000117,4481094017.094017
naive,1,8,0.000113,4639716814.159292
naive,1,8,0.000122,4297442622.950820
naive,1,8,0.000131,4002198473.282443
naive,1,8,0.000139,3771856115.107914
naive,1,8,0.000094,5577531914.893618
naive,1,8,0.000115,4559026086.956522
naive,1,8,0.000135,3883614814.814815
naive,1,8,0.000099,5295838383.838385
naive,1,8,0.000126,4161015873.015873
naive,1,8,0.000111,4723315315.315315
naive,1,8,0.000131,4002198473.282443
naive,1,8,0.000110,4766254545.454545
naive,1,8,0.000120,4369066666.666667
naive,1,8,0.000116,4519724137.931034
naive,1,8,0.000120,4369066666.666667
naive,1,8,0.000121,4332958677.685950
naive,1,8,0.000113,4639716814.159292
naive,1,8,0.000127,4128251968.503937
naive,1,8,0.000118,4443118644.067797
naive,1,8,0.000094,5577531914.893618
naive,1,9,0.000786,2668132315.521628
naive,1,9,0.000777,2699037323.037323
naive,1,9,0.000840,2496609523.809524
naive,1,9,0.000777,2699037323.037323
naive,1,9,0.000817,2566893512.851897
naive,1,9,0.000775,2706002580.645161
naive,1,9,0.000779,2692107830.551990
