name,optim,size,time,bandwidth
naive,0,8,0.000203,2582699507.389163
naive,0,8,0.000209,2508555023.923445
naive,0,8,0.000202,2595485148.514852
naive,0,8,0.000175,2995931428.571429
naive,0,8,0.000175,2995931428.571429
naive,0,8,0.000177,2962079096.045198
naive,0,8,0.000155,3382503225.806452
naive,0,8,0.000154,3404467532.467533
naive,0,8,0.000155,3382503225.806452
naive,0,8,0.000142,3692169014.084507
naive,0,8,0.000141,3718354609.929078
naive,0,8,0.000144,3640888888.888889
naive,0,8,0.000133,3942015037.593985
naive,0,8,0.000131,4002198473.282443
naive,0,8,0.000123,4262504065.040650
naive,0,8,0.000117,4481094017.094017
naive,0,8,0.000117,4481094017.094017
naive,0,8,0.000117,4481094017.094017
naive,0,8,0.000110,4766254545.454545
naive,0,8,0.000108,4854518518.518518
naive,0,8,0.000111,4723315315.315315
naive,0,8,0.000110,4766254545.454545
naive,0,8,0.000108,4854518518.518518
naive,0,8,0.000102,5140078431.372549
naive,0,8,0.000102,5140078431.372549
naive,0,8,0.000102,5140078431.372549
naive,0,8,0.000103,5090174757.281553
naive,0,8,0.000101,5190970297.029703
naive,0,8,0.000101,5190970297.029703
naive,0,8,0.000101,5190970297.029703
naive,0,8,0.000098,5349877551.020409
naive,0,8,0.000097,5405030927.835052
naive,0,8,0.000097,5405030927.835052
naive,0,8,0.000099,5295838383.838385
naive,0,8,0.000102,5140078431.372549
naive,0,8,0.000096,5461333333.333333
naive,0,8,0.000102,5140078431.372549
naive,0,8,0.000098,5349877551.020409
naive,0,8,0.000106,4946113207.547170
naive,0,8,0.000095,5518821052.631578
naive,0,8,0.000101,5190970297.029703
naive,0,8,0.000094,5577531914.893618
naive,0,8,0.000103,5090174757.281553
naive,0,8,0.000101,5190970297.029703
naive,0,8,0.000101,5190970297.029703
naive,0,8,0.000094,5577531914.893618
naive,0,8,0.000094,5577531914.893618
naive,0,8,0.000098,5349877551.020409
naive,0,8,0.000096,5461333333.333333
naive,0,8,0.000098,5349877551.020409
naive,0,9,0.000411,5102559610.705596
naive,0,9,0.000426,4922892018.779343
naive,0,9,0.000433,4843307159.353349
naive,0,9,0.000396,5295838383.838385
naive,0,9,0.000420,4993219047.619047
naive,0,9,0.000395,5309245569.620253
naive,0,9,0.000396,5295838383.838385
naive,0,9,0.000407,5152707616.707617
naive,0,9,0.000403,5203851116.625310
naive,0,9,0.000406,5165399014.778325
naive,0,9,0.000410,5115004878.048780
naive,0,9,0.000418,5017110047.846889
naive,0,9,0.000394,5322720812.182741
naive,0,9,0.000411,5102559610.705596
naive,0,9,0.000398,5269226130.653266
naive,0,9,0.000414,5065584541.062802
naive,0,9,0.000401,5229805486.284289
naive,0,9,0.000397,5282498740.554156
naive,0,9,0.000405,5178153086.419753
naive,0,9,0.000434,4832147465.437788
naive,0,9,0.000409,5127511002.444987
naive,0,9,0.000395,5309245569.620253
naive,0,9,0.000413,5077849878.934625
naive,0,9,0.000398,5269226130.653266
naive,0,9,0.000415,5053378313.253012
naive,0,9,0.000395,5309245569.620253
naive,0,9,0.000406,5165399014.778325
naive,0,9,0.000397,5282498740.554156
naive,0,9,0.000394,5322720812.182741
naive,0,9,0.000426,4922892018.779343
naive,0,9,0.000395,5309245569.620253
naive,0,9,0.000415,5053378313.253012
naive,0,9,0.000393,5336264631.043257
naive,0,9,0.000415,5053378313.253012
naive,0,9,0.000394,5322720812.182741
naive,0,9,0.000398,5269226130.653266
naive,0,9,0.000398,5269226130.653266
naive,0,9,0.000410,5115004878.048780
naive,0,9,0.000409,5127511002.444987
naive,0,9,0.000409,5127511002.444987
naive,0,9,0.000409,5127511002.444987
naive,0,9,0.000394,5322720812.182741
naive,0,9,0.000456,4599017543.859649
naive,0,9,0.000396,5295838383.838385
naive,0,9,0.000412,5090174757.281553
naive,0,9,0.000396,5295838383.838385
naive,0,9,0.000418,5017110047.846889
naive,0,9,0.000410,5115004878.048780
naive,0,9,0.000403,5203851116.625310
naive,0,9,0.000398,5269226130.653266
naive,0,10,0.001654,5071709794.437726
naive,0,10,0.001704,4922892018.779343
naive,0,10,0.001602,5236334581.772784
naive,0,10,0.001626,5159045510.455105
naive,0,10,0.001675,5008124179.104478
naive,0,10,0.001615,5194184520.123839
naive,0,10,0.001746,4804471935.853379
naive,0,10,0.001635,5130647094.801224
naive,0,10,0.001618,5184553770.086526
naive,0,10,0.001711,4902751607.247224
naive,0,10,0.001679,4996192972.007147
naive,0,10,0.001660,5053378313.253012
naive,0,10,0.001815,4621822589.531680
naive,0,10,0.001674,5011115890.083632
naive,0,10,0.001685,4978402373.887240
naive,0,10,0.001667,5032158368.326335
naive,0,10,0.001800,4660337777.777778
naive,0,10,0.001576,5322720812.182741
naive,0,10,0.001641,5111887873.248019
naive,0,10,0.001679,4996192972.007147
naive,0,10,0.001590,5275854088.050314
naive,0,10,0.001639,5118125686.394142
naive,0,10,0.001590,5275854088.050314
naive,0,10,0.001716,4888466200.466200
naive,0,10,0.001747,4801721808.815111
naive,0,10,0.001900,4415056842.105263
naive,0,10,0.001663,5044262176.788936
naive,0,10,0.001640,5115004878.048780
naive,0,10,0.001637,5124378741.600489
naive,0,10,0.001580,5309245569.620253
naive,0,10,0.001592,5269226130.653266
naive,0,10,0.001589,5279174323.473884
naive,0,10,0.001584,5295838383.838385
naive,0,10,0.001635,5130647094.801224
naive,0,10,0.001584,5295838383.838385
naive,0,10,0.001580,5309245569.620253
naive,0,10,0.001714,4894170361.726954
naive,0,10,0.001606,5223292652.552926
naive,0,10,0.001587,5285827347.195967
naive,0,10,0.001616,5190970297.029703
naive,0,10,0.001743,4812741250.717155
naive,0,10,0.001585,5292497160.883281
naive,0,10,0.001612,5203851116.625310
naive,0,10,0.001631,5143229920.294298
naive,0,10,0.001591,5272538026.398492
naive,0,10,0.001678,4999170441.001192
naive,0,10,0.001699,4937379635.079458
naive,0,10,0.001620,5178153086.419753
naive,0,10,0.001839,4561505165.851007
naive,0,10,0.001868,4490689507.494646
naive,0,11,0.013623,2463072157.380900
naive,0,11,0.013556,2475245795.219829
naive,0,11,0.013238,2534705544.644206
naive,0,11,0.013545,2477255961.609450
naive,0,11,0.013475,2490124823.747681
naive,0,11,0.013919,2410692722.178317
naive,0,11,0.013692,2450659655.273152
naive,0,11,0.013490,2487355967.383247
naive,0,11,0.013344,2514570743.405276
naive,0,11,0.013169,2547986331.536183
naive,0,11,0.012690,2644163278.171789
naive,0,11,0.012513,2681565731.639095
naive,0,11,0.012470,2690812510.024058
naive,0,11,0.012589,2665377075.224402
naive,0,11,0.012376,2711250161.603103
naive,0,11,0.012387,2708842496.165335
naive,0,11,0.012713,2639379532.761740
naive,0,11,0.013811,2429543986.677286
naive,0,11,0.013357,2512123380.998727
naive,0,11,0.013587,2469598292.485464
naive,0,11,0.013483,2488647333.679448
naive,0,11,0.013589,2469234822.282729
naive,0,11,0.013205,2541039909.125331
naive,0,11,0.014528,2309638766.519824
naive,0,11,0.013453,2494196982.085780
naive,0,11,0.014652,2290092274.092274
naive,0,11,0.012527,2678568851.281232
naive,0,11,0.012933,2594481713.446223
naive,0,11,0.012779,2625747867.595273
naive,0,11,0.013244,2533557233.464210
naive,0,11,0.013791,2433067362.772823
naive,0,11,0.012729,2636061905.884201
naive,0,11,0.012742,2633372469.000157
naive,0,11,0.013453,2494196982.085780
naive,0,11,0.013044,2572403557.191046
naive,0,11,0.013014,2578333487.013985
naive,0,11,0.013519,2482020267.771285
naive,0,11,0.014415,2327744155.393687
naive,0,11,0.013744,2441387660.069849
naive,0,11,0.013560,2474515634.218289
naive,0,11,0.013557,2475063214.575496
naive,0,11,0.013481,2489016541.799570
naive,0,11,0.014284,2349092131.055727
naive,0,11,0.013714,2446728306.839726
naive,0,11,0.013562,2474150715.233741
naive,0,11,0.015034,2231903152.853532
naive,0,11,0.015036,2231606278.265496
naive,0,11,0.013860,2420954689.754690
naive,0,11,0.014710,2281062678.450034
naive,0,11,0.014050,2388215800.711744
naive,0,12,0.085743,1565349101.384370
naive,0,12,0.086608,1549715130.242010
naive,0,12,0.088100,1523470238.365494
naive,0,12,0.086966,1543335648.414323
naive,0,12,0.084780,1583129606.039160
naive,0,12,0.092391,1452714312.000087
naive,0,12,0.084114,1595664550.491000
naive,0,12,0.085977,1561088756.295288
naive,0,12,0.108295,1239371420.656540
naive,0,12,0.095876,1399909549.835204
naive,0,12,0.091224,1471298430.237657
naive,0,12,0.092369,1453060312.442486
naive,0,12,0.084379,1590653219.402932
naive,0,12,0.095201,1409835274.839550
naive,0,12,0.091797,1462114535.333399
naive,0,12,0.082603,1624852947.229520
naive,0,12,0.083494,1607513450.068268
naive,0,12,0.081936,1638080062.487795
naive,0,12,0.085355,1572464741.374260
naive,0,12,0.085070,1577732784.765487
naive,0,12,0.083872,1600268599.771080
naive,0,12,0.083179,1613601125.284026
naive,0,12,0.084157,1594849246.052022
naive,0,12,0.085820,1563944628.291774
naive,0,12,0.082054,1635724376.630024
naive,0,12,0.082541,1626073442.289286
naive,0,12,0.085157,1576120906.091102
naive,0,12,0.081688,1643053177.945353
naive,0,12,0.082468,1627512829.218606
naive,0,12,0.081690,1643012951.401640
naive,0,12,0.081726,1642289210.288036
naive,0,12,0.082084,1635126553.286877
naive,0,12,0.087300,1537431019.473081
naive,0,12,0.089354,1502089755.355104
naive,0,12,0.086987,1542963063.446262
naive,0,12,0.084314,1591879498.066751
naive,0,12,0.087566,1532760751.890003
naive,0,12,0.083947,1598838886.440254
naive,0,12,0.082907,1618895002.834502
naive,0,12,0.082924,1618563118.035792
naive,0,12,0.082627,1624380989.265010
